Date:,2/25/2019 0:17,,,,,,,
Tool:,Eeschema 4.0.7,,,,,,,
Component Count:,69,,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor,-,Comments
"C2, C4, C1, C22, C24, C27, ",6,0.1uF,C_Small,Capacitors_SMD:C_0603_HandSoldering,Unpolarized capacitor,,-,On hand
"C3, C5, C23, ",3,10uF,C_Small,Capacitors_SMD:C_0805_HandSoldering,Unpolarized capacitor,,-,
"C25, C26, ",2,C_Small,C_Small,Capacitors_SMD:C_0603_HandSoldering,Unpolarized capacitor,,-,
"D3, ",1,Red,LED_ALT,LEDs:LED_0603_HandSoldering,"LED generic, alternativ symbol",,-,On hand
"D4, ",1,Yellow,LED_ALT,LEDs:LED_0603_HandSoldering,"LED generic, alternativ symbol",,-,On hand
"D5, ",1,Green,LED_ALT,LEDs:LED_0603_HandSoldering,"LED generic, alternativ symbol",,-,On hand
"D6, D7, ",2,BAT54S-7-F,BAT54S-7-F,digikey-footprints:SOT-23-3,DIODE ARRAY SCHOTTKY 30V SOT23-3,,-,Ordered
"J1, J2, J8, J9, ",4,Conn_01x02,Conn_01x02,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,"Generic connector, single row, 01x02",,-,On hand
"J3, ",1,Conn_02x07_Odd_Even,Conn_02x07_Odd_Even,Pin_Headers:Pin_Header_Straight_2x07_Pitch2.54mm_SMD,"Generic connector, double row, 02x07, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers)",,-,
"J4, ",1,Conn_01x04,Conn_01x04,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm_SMD_Pin1Left,"Generic connector, single row, 01x04",,-,On hand
"J5, ",1,Conn_01x06,Conn_01x06,Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm_SMD_Pin1Left,"Generic connector, single row, 01x06",,-,On hand
"J6, J7, ",2,Conn_01x03,Conn_01x03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm_SMD_Pin1Left,"Generic connector, single row, 01x03",,-,On hand
"L1, ",1,Ferrite_Bead,Ferrite_Bead,Capacitors_SMD:C_0805_HandSoldering,Ferrite bead,,-,MPZ2012S102AT000
"Q5, Q6, ",2,Q_NMOS_GSD,Q_NMOS_GSD,TO_SOT_Packages_SMD:SOT-23,Transistor N-MOSFETwith substrate diode (general),,-,On hand
"Q9, Q8, Q7, ",3,Q_NPN_BEC,Q_NPN_BEC,TO_SOT_Packages_SMD:SOT-23,Transistor NPN (general),,-,MMBT3904
"R1, R3, R26, R21, R24, R25, R29, R27, R28, R22, R23, ",11,10k,R_Small,Resistors_SMD:R_0603_HandSoldering,"Resistor, small symbol",,-,On hand
"R2, ",1,1k,R_Small,Resistors_SMD:R_0603_HandSoldering,"Resistor, small symbol",,-,On hand
"R4, ",1,2.49k,R_Small,Resistors_SMD:R_0603_HandSoldering,"Resistor, small symbol",,-,On hand
"R20, ",1,100k,R_Small,Resistors_SMD:R_0603_HandSoldering,"Resistor, small symbol",,-,On hand
"R31, R30, ",2,2.2k,R_Small,Resistors_SMD:R_0603_HandSoldering,"Resistor, small symbol",,-,On hand
"R32, R33, ",2,0 OHM,R_Small,Resistors_SMD:R_0603_HandSoldering,"Resistor, small symbol",,-,On hand
"S2, S1, ",2,B3U-1000P,B3U-1000P,digikey-footprints:Switch_Tactile_SMD_B3U-1000P,SWITCH TACTILE SPST-NO 0.05A 12V,,-,B3U-1000P
"U1, ",1,AZ1117CH-3_3TRG1,AZ1117CH-3_3TRG1,digikey-footprints:SOT-223,IC REG LINEAR 3.3V 800MA SOT223,,-,AZ1117CH-3_3TRG1
"U4, ",1,ESP32-WROOM,ESP32-WROOM,ESP32-footprints-Lib:ESP32-WROOM,"ESP32 ESP32-WROOM module, PCB antenna, 38 pins, 1.27mm.",,-,ESP32-WROOM
"Y1, ",1,32.768 kHz,Crystal,Crystals:Crystal_SMD_3215-2pin_3.2x1.5mm,Two pin crystal,,-,DNP
